,cpu_load,mem_avail,timestamp,run,run_start_cutoff,run_end_cutoff
425,36.4,26114744320,1526055398672.638,0,1526055328825.4666,1526055388017.6387
426,43.0,26113941504,1526055398873.2065,0,1526055328825.4666,1526055388017.6387
427,40.1,26115035136,1526055399072.8564,0,1526055328825.4666,1526055388017.6387
428,37.5,26114482176,1526055399272.8628,0,1526055328825.4666,1526055388017.6387
429,57.2,26106269696,1526055401596.4429,1,1526055416801.5525,1526055470703.9087
430,41.9,26104320000,1526055401796.1042,1,1526055416801.5525,1526055470703.9087
431,41.9,26104672256,1526055401993.4565,1,1526055416801.5525,1526055470703.9087
432,42.9,26100932608,1526055402201.5127,1,1526055416801.5525,1526055470703.9087
433,40.4,26100695040,1526055402393.7388,1,1526055416801.5525,1526055470703.9087
434,38.9,26100326400,1526055402593.443,1,1526055416801.5525,1526055470703.9087
435,38.0,26100125696,1526055402793.9429,1,1526055416801.5525,1526055470703.9087
